datetime,pollutant,units,measurement,latitude,longitude
2016-03-10 07:00:00+00:00,pm25,µg/m³,10.0,52.136055,-106.662796
2016-03-10 08:00:00+00:00,pm25,µg/m³,7.0,52.136055,-106.662796
2016-03-11 15:00:00+00:00,pm25,µg/m³,20.0,52.136055,-106.662796
2016-03-11 16:00:00+00:00,pm25,µg/m³,8.0,52.136055,-106.662796
2016-03-11 17:00:00+00:00,pm25,µg/m³,4.0,52.136055,-106.662796
2016-03-11 18:00:00+00:00,pm25,µg/m³,3.0,52.136055,-106.662796
2016-03-11 20:00:00+00:00,pm25,µg/m³,3.0,52.136055,-106.662796
2016-03-11 21:00:00+00:00,pm25,µg/m³,3.0,52.136055,-106.662796
2016-03-11 22:00:00+00:00,pm25,µg/m³,2.0,52.136055,-106.662796
2016-03-11 23:00:00+00:00,pm25,µg/m³,2.0,52.136055,-106.662796
2016-03-12 00:00:00+00:00,pm25,µg/m³,3.0,52.136055,-106.662796
2016-03-12 01:00:00+00:00,pm25,µg/m³,2.0,52.136055,-106.662796
2016-03-12 02:00:00+00:00,pm25,µg/m³,3.0,52.136055,-106.662796
2016-03-12 03:00:00+00:00,pm25,µg/m³,2.0,52.136055,-106.662796
2016-03-12 04:00:00+00:00,pm25,µg/m³,2.0,52.136055,-106.662796
2016-03-12 05:00:00+00:00,pm25,µg/m³,2.0,52.136055,-106.662796
2016-03-12 06:00:00+00:00,pm25,µg/m³,1.0,52.136055,-106.662796
2016-03-12 07:00:00+00:00,pm25,µg/m³,2.0,52.136055,-106.662796
2016-03-12 08:00:00+00:00,pm25,µg/m³,1.0,52.136055,-106.662796
2016-03-12 09:00:00+00:00,pm25,µg/m³,1.0,52.136055,-106.662796
2016-03-12 10:00:00+00:00,pm25,µg/m³,1.0,52.136055,-106.662796
2016-03-12 11:00:00+00:00,pm25,µg/m³,1.0,52.136055,-106.662796
2016-03-12 12:00:00+00:00,pm25,µg/m³,1.0,52.136055,-106.662796
2016-03-12 13:00:00+00:00,pm25,µg/m³,1.0,52.136055,-106.662796
2016-03-12 14:00:00+00:00,pm25,µg/m³,1.0,52.136055,-106.662796
